City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,New Norfolk,AU,2022-12-08 01:29:59,-42.7826,147.0587,284.77,56,53,1.34
1,Kalmar,SE,2022-12-08 01:29:59,56.6616,16.3616,270.35,90,75,3.58
2,Tasiilaq,GL,2022-12-08 01:30:01,65.6145,-37.6368,269.24,68,39,1.88
3,Punta Arenas,CL,2022-12-08 01:30:01,-53.15,-70.9167,280.21,65,0,6.69
4,San Ignacio,BZ,2022-12-08 01:30:02,17.1561,-89.0714,293.81,95,0,1.25
5,Bredasdorp,ZA,2022-12-08 01:30:03,-34.5322,20.0403,288.82,92,92,1.82
6,Hermanus,ZA,2022-12-08 01:30:04,-34.4187,19.2345,289.15,89,100,4.32
7,Mildura,AU,2022-12-08 01:30:04,-34.2,142.15,290.97,43,1,7.58
8,Half Moon Bay,US,2022-12-08 01:30:05,37.4636,-122.4286,285.4,84,0,2.06
9,Saint George,US,2022-12-08 01:30:06,37.1041,-113.5841,279.23,78,75,1.79
10,Saint-Philippe,RE,2022-12-08 01:25:55,-21.3585,55.7679,296.92,88,43,6.41
11,Liverpool,GB,2022-12-08 01:30:02,53.4106,-2.9779,276.38,84,32,1.03
12,Zhigansk,RU,2022-12-08 01:30:07,66.7697,123.3711,239.25,95,93,3.07
13,Rikitea,PF,2022-12-08 01:30:08,-23.1203,-134.9692,297.41,80,6,8.51
14,Banda Aceh,ID,2022-12-08 01:30:08,5.5577,95.3222,300.61,73,100,1.38
15,Avarua,CK,2022-12-08 01:28:52,-21.2078,-159.775,301.18,74,20,4.12
16,Kushmurun,KZ,2022-12-08 01:30:09,52.4503,64.6311,251.0,99,91,0.73
17,Qaqortoq,GL,2022-12-08 01:30:09,60.7167,-46.0333,266.1,72,93,2.75
18,Torbay,CA,2022-12-08 01:30:10,47.6666,-52.7314,275.69,97,100,4.63
19,Atuona,PF,2022-12-08 01:30:11,-9.8,-139.0333,298.89,73,18,7.81
20,Mareeba,AU,2022-12-08 01:30:11,-17.0,145.4333,305.06,56,8,2.13
21,Katsuura,JP,2022-12-08 01:30:12,35.1333,140.3,286.56,56,0,0.82
22,Hobart,AU,2022-12-08 01:27:53,-42.8794,147.3294,284.97,71,75,9.26
23,Innisfail,AU,2022-12-08 01:30:13,-17.5333,146.0333,302.29,54,5,3.05
24,Maragogi,BR,2022-12-08 01:30:13,-9.0122,-35.2225,297.84,80,32,3.19
25,La Asuncion,VE,2022-12-08 01:30:14,11.0333,-63.8628,297.0,100,89,2.06
26,Nikolskoye,RU,2022-12-08 01:30:15,59.7035,30.7861,269.09,89,100,5.55
27,Castro,BR,2022-12-08 01:30:15,-24.7911,-50.0119,290.95,99,21,2.66
28,Ribeira Grande,PT,2022-12-08 01:30:16,38.5167,-28.7,288.58,88,40,3.58
29,Ushuaia,AR,2022-12-08 01:30:16,-54.8,-68.3,279.96,53,40,7.2
30,Virginia Beach,US,2022-12-08 01:27:18,36.8529,-75.978,292.17,95,100,3.6
31,Marzuq,YE,2022-12-08 01:30:17,14.4,46.4667,288.66,60,6,0.83
32,Rocha,UY,2022-12-08 01:30:18,-34.4833,-54.3333,290.61,79,47,4.94
33,Lasa,IT,2022-12-08 01:30:18,46.6166,10.7002,270.02,89,33,0.77
34,Tuktoyaktuk,CA,2022-12-08 01:30:18,69.4541,-133.0374,245.15,76,40,4.63
35,Bethel,US,2022-12-08 01:30:19,41.3712,-73.414,287.2,88,100,3.6
36,Honiara,SB,2022-12-08 01:30:20,-9.4333,159.95,302.24,75,90,1.81
37,Buraydah,SA,2022-12-08 01:30:20,26.326,43.975,288.4,80,1,3.66
38,Russas,BR,2022-12-08 01:30:21,-4.9403,-37.9758,299.71,74,99,4.13
39,Mount Isa,AU,2022-12-08 01:30:21,-20.7333,139.5,311.02,17,6,3.6
40,Mataura,NZ,2022-12-08 01:30:22,-46.1927,168.8643,295.26,48,100,1.51
41,Bluff,NZ,2022-12-08 01:31:22,-46.6,168.3333,291.03,64,100,1.91
42,Teya,RU,2022-12-08 01:31:22,60.3778,92.6267,258.64,90,100,4.67
43,Hithadhoo,MV,2022-12-08 01:31:23,-0.6,73.0833,300.46,76,100,7.4
